,tconst,averageRating,numVotes,startYear,runtimeMinutes,genres,titleType,primaryTitle,budget,id,popularity,poster_path,production_countries,revenue,overview,production_companies_name
0,tt0042923,6.6,178,1951,90,"Comedy,Drama",movie,Without Leaving an Address,0,162344,1.604,/AffSF0YSLtw76tidUSjk2BpuVpR.jpg,FR,0,"A woman in Paris hires a taxi driver to locate her ex-lover, father to her newborn child, who left her without leaving an address.",[]
1,tt0042923,6.6,178,1951,90,"Comedy,Drama",movie,Without Leaving an Address,0,162344,1.604,/AffSF0YSLtw76tidUSjk2BpuVpR.jpg,FR,0,"A woman in Paris hires a taxi driver to locate her ex-lover, father to her newborn child, who left her without leaving an address.",[]
2,tt0043303,7.2,1563,1951,98,"Comedy,Crime",movie,The Red Inn,0,28190,5.671,/oeQf19yeZBtBPv0qEuCz48qGABV.jpg,FR,0,"A group of travelers, including a monk, stay in a lonely inn in the mountains. The host confesses the monk his habit of serving poisoned soup to the guests, to rob their possessions and to bury them in the backyard.",['Memnon Films']
3,tt0043355,5.8,155,1951,89,Comedy,movie,The Sleepwalker,0,35822,0.876,/1xKtNNNG9UbdhJ4QKQjbhWDHc37.jpg,FR,0,"Victor Boniface's life is not exactly a rest cure. Just imagine: Victor is both a store detective and a ... shoplifter (only when he walks in his sleep, mind you)! And falling in love while sleepwalking is no bed of roses either, as the good-natured man simply forgets everything after waking up. Fortunately love wins the game in the end. Does that mean that life will become as easy as pie ? Certainly not: the little Bonifaces will be sleepwalkers just like their daddy!",[]
4,tt0043577,6.2,552,1951,90,"Comedy,Fantasy",movie,Mr. Peek-a-Boo,0,50444,2.849,/844DQaliV4k6Pwzt4xCSnJnEeiJ.jpg,"IT, FR",0,"A simple civil servant Léon, who has the unusual ability to walk through walls, falls madly in love with a hotel thief by the name of Susan. He poses as Garou-Garou, a dangerous gangster to attempt to woo her affections, but is arrested and sent to jail. While in jail he annoys the guards by walking in and out of his cell, and keeps persuading Susan to cease her criminal way of life. As fundamentally being an honest and law-abiding citizen, he eventually handles back everything he has stolen, is acquitted by the court, and becomes famous and respected. When he learns that Susan is planning to return to England and start a new life, he decides to confess to her his emotions. However, the couple is interrupted by a sudden rush of journalists. Trying to escape in a building, they get cornered on a corridor, and Léon pushes Susan through a nearby wall. But by doing this, he loses his own wall-walking ability, and the film concludes.","['Silver Films', 'Fides', 'Cité Films']"
5,tt0043918,7.6,4732,1952,107,Comedy,movie,The Little World of Don Camillo,0,11972,10.268,/bDbzuBgsgZ5VVljMHNni3gJK9Qx.jpg,"FR, IT",0,"In a village of the Po valley where the earth is hard and life miserly, the priest and the communist mayor are always fighting to be the head of the community. If in secret, they admired and liked each other, politics still divided them as it is dividing the country. And when the mayor wants his ""People's House""; the priest wants his ""Garden City"" for the poor. Division exist between the richest and the poorest, the pious and the atheists and even between lovers. But if the people are hard as the country, they are good in the bottom of there heart.","['Francinex', 'Amato Film', 'Rizzoli Film']"
6,tt0044140,7.0,380,1951,136,Comedy,movie,Topaze,0,67756,1.364,/aSMSx76KxpOvFFsmLAKV3kKrxJP.jpg,FR,0,"Albert Topaze, sincere schoolteacher addicted to ""rote"" morality, works at a private school run by supremely money-grubbing M. Muche, whose daughter, also a teacher, makes cynical use of the knowledge that Topaze loves her. Alas, Topaze's naive honesty brings him unjust dismissal...and makes him fair game for the ""aunt"" of his private pupil, really the mistress of crooked politician Regis, who needs an honest-seeming ""front man."" Can artful Suzy Courtois keep Topaze on the string? With steadily escalating disillusion comes moral crisis...",['Les Films Marcel Pagnol']
7,tt0044441,6.4,277,1953,103,Comedy,movie,The Wild Oat,0,67757,1.304,/5UePpNBO55U3rE1fCSRPE5U1ggp.jpg,"FR, IT",0,"A small village is torn apart by a quarrel between the baker and the italian grocery tenant, mother of a pregnant young girl. She accuses the baker's son, doing his military service in Algeria, to be the father of the would be child. Offended, the baker refuses to deliver bread to the villagers standing on the mother's side.","['Cité Films', 'Fidès', 'Peg Produzione']"
8,tt0044504,6.1,252,1952,87,Comedy,movie,French Touch,0,74754,0.6,/aszUif8gbRsZOXTFsP1yw3y5LQU.jpg,FR,0,"Mario, a bumptious sheep-shearer, discovers he has a inimtable touch that makes women, as well as sheep, swoon at his professional caress. He is soon the most sought-after hairdresser in France and is awarded the Legion of Honor...",['Hoche Productions']
9,tt0044640,6.5,191,1952,100,Drama,movie,Forbidden Fruit,0,95287,2.304,/d4l2Xb0ymRnCOlYNW5Byu9omscB.jpg,FR,0,"A doctor, leading an agreed life of the provincial petty bourgeoisie, falls in love with a young woman. As their relationship deepens, he becomes violently jealous and blames her for her dating and friendships.",['Gray Film']
